Time,Source,Flight Name,Status,date,type,Destination
00:05:00,Paris (CDG),Air France,Landed 12:48 AM,2020-02-02,A,
00:05:00,Hyderabad (HYD),IndiGo,Landed 12:23 AM,2020-02-02,A,
00:05:00,,GoAir,Departed 12:30 AM,2020-02-02,D,Delhi (DEL)
00:05:00,,AirAsia,Departed 12:55 AM,2020-02-02,D,Delhi (DEL)
00:05:00,,Bangkok Airways (Guilin Livery),Departed 12:50 AM,2020-02-02,D,Bangkok (BKK)
00:10:00,Jaipur (JAI),GoAir,Landed 12:57 AM,2020-02-02,A,
00:10:00,Delhi (DEL),IndiGo,Landed 11:45 PM,2020-02-02,A,
00:10:00,,United Airlines,Departed 1:02 AM,2020-02-02,D,New York (EWR)
00:15:00,London (LHR),British Airways (GREAT Festival of Creativity),Landed 1:21 AM,2020-02-02,A,
00:15:00,Dubai (DXB),Vistara,Landed 12:01 AM,2020-02-02,A,
00:15:00,Coimbatore (CJB),IndiGo,Landed 12:09 AM,2020-02-02,A,
00:15:00,,IndiGo,Departed 12:45 AM,2020-02-02,D,Bengaluru (BLR)
00:20:00,Bengaluru (BLR),GoAir,Landed 12:04 AM,2020-02-02,A,
00:20:00,Goa (GOI),SpiceJet,Landed 1:28 AM,2020-02-02,A,
00:20:00,Chennai (MAA),IndiGo,Landed 1:26 AM,2020-02-02,A,
00:20:00,,IndiGo,Departed 12:38 AM,2020-02-02,D,Chennai (MAA)
00:25:00,Jeddah (JED),IndiGo,Landed 1:07 AM,2020-02-02,A,
00:25:00,,IndiGo,Departed 12:47 AM,2020-02-02,D,Cochin (COK)
00:30:00,Goa (GOI),Air India,Landed 12:37 AM,2020-02-02,A,
00:30:00,Bengaluru (BLR),AirAsia,Landed 12:11 AM,2020-02-02,A,
00:30:00,Kolkata (CCU),IndiGo,Landed 12:40 AM,2020-02-02,A,
00:30:00,,SpiceJet,Departed 1:14 AM,2020-02-02,D,Goa (GOI)
00:35:00,Hong Kong (HKG),Cathay Pacific,Landed 12:53 AM,2020-02-02,A,
00:35:00,,GoAir,Departed 1:11 AM,2020-02-02,D,Kannur (CNN)
00:35:00,,SpiceJet,Departed 1:05 AM,2020-02-02,D,Kolkata (CCU)
00:40:00,Amsterdam (AMS),KLM,Landed 1:01 AM,2020-02-02,A,
00:45:00,Delhi (DEL),IndiGo,Landed 12:44 AM,2020-02-02,A,
00:45:00,,Air India,Departed 1:36 AM,2020-02-02,D,Dubai (DXB)
00:50:00,,SpiceJet,Departed 2:02 AM,2020-02-02,D,Chennai (MAA)
00:50:00,,IndiGo,Departed 1:59 AM,2020-02-02,D,Hyderabad (HYD)
00:50:00,,IndiGo,Departed 1:24 AM,2020-02-02,D,Delhi (DEL)
00:55:00,Hyderabad (HYD),SpiceJet (With All Our Heart Livery),Landed 1:17 AM,2020-02-02,A,
00:55:00,London (LHR),Virgin Atlantic,Landed 1:19 AM,2020-02-02,A,
00:55:00,Bengaluru (BLR),IndiGo,Landed 1:15 AM,2020-02-02,A,
00:55:00,,Delta Air Lines,Departed 1:29 AM,2020-02-02,D,New York (JFK)
00:55:00,,Singapore Airlines,Departed 1:17 AM,2020-02-02,D,Singapore (SIN)
